Username,Comment sentiment,Comment subjectivity,Date,Likes,Replies,Link
              @petercomeau7540            ,0.4926,0.2,03-09-2023,1,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @servantofallah3113            ,0.0,0.0,03-11-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @SirPhillip            ,0.0,0.0,23-02-2023,1,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @micheleus9251            ,-0.6908,0.24444444444444444,03-12-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @scarlett_j            ,0.7351,0.7208333333333333,03-12-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @christinepontecorvo5449            ,0.0,0.14444444444444446,23-02-2023,1,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @zachdyer            ,0.1245,0.26875,03-09-2023,0,4,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @coreyihler            ,0.3182,0.0,03-05-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @mauibabe1711            ,0.8616,0.37714285714285717,23-02-2023,5,3,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @garaseer584            ,-0.8519,0.15000000000000002,03-02-2023,4,1,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @BC-mb3yv            ,-0.0258,0.6333333333333333,03-08-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @Huffstuff420            ,0.9241,0.5411904761904762,03-09-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @pontiacowl6727            ,0.0,0.06666666666666667,03-08-2023,0,1,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @TakinErEasyHere            ,0.4719,0.5178571428571428,03-07-2023,1,3,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @ctisct            ,-0.1278,0.49166666666666664,03-11-2023,0,2,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @peterantonacci            ,0.2263,0.0,03-02-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @coreyihler            ,0.4767,0.762962962962963,03-05-2023,1,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @TimurIshuov            ,-0.8658,1.0,03-09-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @cashabea            ,0.0,0.0,23-02-2023,1,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @shaysdy3357            ,0.0,0.0,23-02-2023,1,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @raya.p.l5919            ,-0.5859,0.6,03-08-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @kraku1930            ,0.4215,0.0,03-04-2023,1,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @bluedragon2027            ,0.3034,0.7,03-08-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @shanemaddox5049            ,-0.2626,0.65,03-09-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @alexandersmith1507            ,0.4404,0.85,03-07-2023,2,1,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @brieziethirteen13            ,0.0,1.0,15-03-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @sherwincolina8684            ,0.4215,0.65,03-05-2023,1,2,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @TimotheeLee            ,-0.1431,1.0,03-08-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @jahmusicmansionwhererealre3920            ,-0.8931,0.42500000000000004,03-02-2023,1,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @weawaken838            ,0.0,0.0,03-07-2023,1,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @TakinErEasyHere            ,0.8959,0.6722222222222222,03-07-2023,1,1,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @BennyNegroFromQueens            ,0.7277,0.5,None,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @JesusReignsSupreme            ,-0.3353,0.29523809523809524,14-03-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @franksam6818            ,0.4071,0.9,23-02-2023,2,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @jessstirland8338            ,0.5106,0.75,03-09-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @faithoverfear1009            ,0.0,0.5,23-02-2023,8,3,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @drewbladen1668            ,0.0,0.0,03-07-2023,1,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @krustysurfer            ,0.0,0.5,23-02-2023,3,1,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @rsahota5325            ,0.743,0.3833333333333333,03-08-2023,0,2,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @quinyvancamp            ,0.0,0.0,03-02-2023,1,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @thomascorbett2936            ,0.0,0.0,03-08-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @queenrainbowakamumabear5583            ,-0.5615,0.4,03-11-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @Shekinah806            ,0.3612,0.0,03-02-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @ronvosick8253            ,-0.4141,0.9444444444444444,23-02-2023,0,2,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @SSdragon666            ,-0.5411,0.0,03-08-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @GnosticChild            ,-0.5994,0.0,03-08-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @terry1892            ,0.2732,1.0,03-08-2023,1,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @godstomper            ,0.0,0.0,03-05-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @louisvega4565            ,0.4019,0.5,03-10-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @loveyahshayah8855            ,0.0,0.0,03-08-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @carolinelalumiere4834            ,-0.6656,1.0,16-03-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @rosetingle9076            ,0.0772,0.5,23-02-2023,1,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @ryancang3627            ,0.7227,0.5,23-02-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @m.o.grecords8263            ,0.0,0.0,23-02-2023,1,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @MrJosedaluz            ,0.0,0.0,03-09-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @masono1P41            ,0.0,0.0,23-02-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @bryansmith7238            ,0.1566,0.7699999999999999,03-09-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @firerock6026            ,-0.4019,0.9,03-02-2023,1,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @gollymissholly8791            ,0.6369,0.3,13-03-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @theIAM7776            ,0.6369,0.5888888888888889,23-02-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @crazycreations1857            ,-0.4767,0.9,23-02-2023,0,4,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @kimgillham321            ,-0.8442,0.1875,03-09-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @partoeg807            ,0.0,0.4,03-11-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @birossangma4405            ,0.925,0.5666666666666667,None,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @donanz3914            ,-0.3612,1.0,23-02-2023,2,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @timothycarson7804            ,0.2023,0.0,03-07-2023,1,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @larry1824            ,-0.296,0.0,03-07-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @praise2932            ,0.5859,1.0,03-02-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @katyhopy5109            ,-0.4215,0.0,03-07-2023,1,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @thegiantrubberduckyssqueek3163            ,0.5994,0.0,03-11-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @laronanderson3922            ,-0.4588,0.0,03-02-2023,0,1,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @ZoraTheExplora            ,-0.8569,0.6462962962962963,03-07-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @noshtsherlock497            ,-0.6597,0.1,03-10-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @richardwich3492            ,0.3612,0.2606060606060606,None,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @Huffstuff420            ,0.1779,0.8500000000000001,03-09-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @anythingdiy577            ,0.0,0.5,03-11-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @FinalEyes777            ,0.3109,0.5125,03-07-2023,1,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @ryanedwards2668            ,0.9233,0.1,03-12-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @rareremix            ,0.0,0.0,03-07-2023,1,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @galvaseus4734            ,0.0,0.2,14-03-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @rebeckahaubertin3637            ,0.0,0.0,23-02-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @mlbreel            ,0.2732,0.0,03-08-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @shinmalestat9272            ,0.0,0.1,03-08-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @sirvicemanone            ,0.0,0.0,03-02-2023,1,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @coreyihler            ,-0.2263,0.21363636363636362,03-05-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @benjamindavis6148            ,0.2732,0.0,03-04-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @MUHAMMADALI-xr6vk            ,-0.1531,1.0,16-03-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @jimmieswaggerap27            ,0.3321,0.4981818181818182,03-08-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @restlessascension3260            ,0.9847,0.4875,03-07-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @drowzy2309            ,0.3818,0.5584415584415585,03-05-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @benpravecek2418            ,0.6249,0.0,03-07-2023,0,1,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @PauloDLara            ,0.4215,0.7,None,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @Adexter23            ,0.3182,0.35000000000000003,None,1,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @arturogomez7026            ,0.7066,0.1,03-10-2023,1,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @miterogenari1217            ,0.2732,1.0,23-02-2023,0,67,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @TheInfinityOK            ,0.974,0.47222222222222227,03-08-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @ronaldgray7830            ,-0.296,0.65,23-02-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @doucheworldorder            ,0.0,0.3,23-02-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @veronicamalsi266            ,0.4215,0.7,03-12-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @BurninBushMaster            ,0.0,0.0,03-09-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @khaosgoddess-ne4zo            ,-0.5267,0.5333333333333333,03-07-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @kylesdraftvideos            ,-0.4404,0.48125,03-02-2023,0,1,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @kacythomas1327            ,0.0,0.0,03-08-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @keithawhosoever5384            ,-0.128,0.5,03-06-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @masterp401            ,-0.6476,0.0,03-06-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @cosmic4037            ,0.0,0.0,03-08-2023,0,1,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @hana.s.5203            ,0.2609,0.5,15-03-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @antonthewall9495            ,0.0,0.0,03-12-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @nosretep1960            ,0.0,0.0,23-02-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @alexlightworker9207            ,-0.802,1.0,03-07-2023,0,29,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @user-mi8gg3nv6r            ,0.0,0.0,03-08-2023,1,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @mieczysawkowalski7382            ,0.0,0.0,03-06-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @kingfree3396            ,-0.765,0.6666666666666666,23-02-2023,3,55,https://www.youtube.com/watch?v=oz2n-rQCWzI
              Steven Hanson            ,-0.6705,0.6962962962962963,16-02-2023,5,2,https://www.youtube.com/watch?v=s6-E5oLRtFI
              Robert Bernard            ,0.0,0.15,14-03-2023,0,0,https://www.youtube.com/watch?v=s6-E5oLRtFI
              Onedisaster Attatime            ,-0.5994,0.0,16-02-2023,10,0,https://www.youtube.com/watch?v=s6-E5oLRtFI
              R L            ,0.0,0.0,16-02-2023,0,1,https://www.youtube.com/watch?v=s6-E5oLRtFI
              TJ            ,-0.3544,0.35714285714285715,16-02-2023,7,3,https://www.youtube.com/watch?v=s6-E5oLRtFI
              Monkey Guy80            ,0.4199,0.0,03-04-2023,2,0,https://www.youtube.com/watch?v=s6-E5oLRtFI
              Daniel Wilcox            ,0.7088,0.8,16-02-2023,15,2,https://www.youtube.com/watch?v=s6-E5oLRtFI
              Christoph Ross            ,0.4215,0.55,03-10-2023,0,0,https://www.youtube.com/watch?v=s6-E5oLRtFI
              Ed H            ,-0.431,0.225,None,11,0,https://www.youtube.com/watch?v=s6-E5oLRtFI
